entity_type,schemaVersion,id,name,description,title,industry,status,businessId,confirmed,publishedAt,decisionFinalizedAt,questions,answers,scoringVersion,problemContext,expectedResult,acceptanceCriteria,scope,resources,timingConstraints,readinessScore,interests,skills,technologies,taskId,teamId,approach,timing,plan,link
business,2,business-demo,Демо-бизнес,Демонстрационный представитель бизнеса,,,,,,,,,,,,,,,,,,,,,,,,,,
draft,2,task-draft-001,,"Обращения хранятся в разных каналах; менеджерам не хватает единого списка статусов и ответственных, поэтому заявки теряются.",Заявки из разных каналов,Клиентский сервис,draft,business-demo,false,null,null,[],[],1,"Обращения хранятся в разных каналах; менеджерам не хватает единого списка статусов и ответственных, поэтому заявки теряются.",null,null,null,null,null,20,,,,,,,,,
draft,2,task-draft-002,,"Данные по трём точкам обновляются вручную и находятся в отдельных таблицах; сотрудники не успевают замечать нехватку товара. Прототип таблицы остатков с точкой продаж, количеством и индикатором минимального запаса.",Контроль остатков для небольшой сети,Розничная торговля,draft,business-demo,false,null,null,[],[],1,Данные по трём точкам обновляются вручную и находятся в отдельных таблицах; сотрудники не успевают замечать нехватку товара.,"Прототип таблицы остатков с точкой продаж, количеством и индикатором минимального запаса.",null,null,null,null,40,,,,,,,,,
draft,2,task-draft-003,,"Инструкции распределены по папкам и названы в разных форматах; новые сотрудники долго ищут нужный материал. Каталог документов с названием, темой, кратким описанием и поиском по этим полям. Предоставим список из 25 названий и кратких описаний без внутренних секретов.",Навигация по внутренним знаниям,Обучение и HR,draft,business-demo,false,null,null,[],[],1,Инструкции распределены по папкам и названы в разных форматах; новые сотрудники долго ищут нужный материал.,"Каталог документов с названием, темой, кратким описанием и поиском по этим полям.",null,null,Предоставим список из 25 названий и кратких описаний без внутренних секретов.,null,55,,,,,,,,,
draft,2,task-draft-004,,Администратор вручную сверяет расписание консультаций; накладки мешают обслуживать клиентов в назначенное время. Простой экран выбора даты и свободного временного окна. На примере расписания занятое окно нельзя выбрать; после отправки показаны выбранные дата и время. Нужны экран записи и список заявок администратора; интеграция с календарём не входит.,Запись на консультации,Профессиональные услуги,draft,business-demo,false,null,null,[],[],1,Администратор вручную сверяет расписание консультаций; накладки мешают обслуживать клиентов в назначенное время.,Простой экран выбора даты и свободного временного окна.,На примере расписания занятое окно нельзя выбрать; после отправки показаны выбранные дата и время.,Нужны экран записи и список заявок администратора; интеграция с календарём не входит.,null,null,75,,,,,,,,,
draft,2,task-draft-005,,"Отзывы хранятся разрозненно; организаторам сложно выделить повторяющиеся темы и предложения по улучшению. Экран со списком обезличенных отзывов и ручными тематическими метками. Можно открыть отзыв, назначить метки и отфильтровать список по одной из меток. Входит: список, ручные метки и фильтр. Не входит: автоматический анализ тональности. Есть 40 синтетических отзывов без персональных данных. Дедлайна нет. Ограничения: локальная демонстрация на синтетических данных, без внешних интеграций.",Сбор обратной связи после мероприятия,События и образование,draft,business-demo,false,null,null,[],[],1,Отзывы хранятся разрозненно; организаторам сложно выделить повторяющиеся темы и предложения по улучшению.,Экран со списком обезличенных отзывов и ручными тематическими метками.,"Можно открыть отзыв, назначить метки и отфильтровать список по одной из меток.","Входит: список, ручные метки и фильтр. Не входит: автоматический анализ тональности.",Есть 40 синтетических отзывов без персональных данных.,"Дедлайна нет. Ограничения: локальная демонстрация на синтетических данных, без внешних интеграций.",100,,,,,,,,,
task,2,task-001,,"Заявки клиентов приходят из почты, формы на сайте и мессенджера. Менеджеры переносят их в таблицу вручную, поэтому часть обращений теряется и долго остаётся без ответа.",Единый реестр клиентских заявок,Клиентский сервис,published,business-demo,true,2026-09-23T08:10:00Z,null,[],[],1,"Обращения хранятся в разных каналах; менеджерам не хватает единого списка статусов и ответственных, поэтому заявки теряются.","Прототип единого реестра с добавлением заявки, статусом, ответственным и фильтрацией.",На тестовом наборе из 20 заявок каждая отображается один раз; по заявке видны статус и ответственный; список можно отфильтровать по статусу.,"Входит: ручное добавление, просмотр списка, статусы и фильтры. Не входит: интеграции с почтой и мессенджерами.",Обезличенный пример таблицы и описание текущих статусов; тестовые заявки можно сгенерировать.,"Показ к 25 сентября 2026 года. Ограничения: только обезличенные демонстрационные данные, без доступа к рабочим системам.",100,,,,,,,,,
task,2,task-002,,"Нужно свести остатки товаров по трём точкам в одну понятную таблицу и подсвечивать позиции, которые приближаются к минимальному запасу.",Панель контроля товарных остатков,Розничная торговля,published,business-demo,true,2026-09-23T08:11:00Z,null,[],[],1,Данные по трём точкам обновляются вручную и находятся в отдельных таблицах; сотрудники не успевают замечать нехватку товара.,"Прототип таблицы остатков с точкой продаж, количеством и индикатором минимального запаса.",Для каждой позиции видны остаток и точка продаж; позиции ниже порога выделяются; итоговые данные совпадают с контрольной таблицей.,Входит: импорт подготовленного CSV и таблица с фильтром. Не входит: подключение к кассам и автоматическая синхронизация.,Есть обезличенный CSV на 30 позиций и правила минимального запаса.,null,90,,,,,,,,,
task,2,task-003,,Новые сотрудники не всегда находят нужные инструкции в общих папках. Хотим собрать материалы в простой каталог с поиском и темами.,Каталог внутренних инструкций,Обучение и HR,published,business-demo,true,2026-09-23T08:12:00Z,null,[],[],1,Инструкции распределены по папкам и названы в разных форматах; новые сотрудники долго ищут нужный материал.,"Каталог документов с названием, темой, кратким описанием и поиском по этим полям.","Пользователь находит пять контрольных инструкций по ключевому слову и понимает, к какой теме относится каждый результат.",Входит: каталог и поиск по заранее подготовленным записям. Не входит: загрузка файлов и права доступа.,null,null,75,,,,,,,,,
task,2,task-004,,"Клиенты записываются на консультации через несколько каналов, а администратор вручную сверяет свободные окна.",Форма записи на консультацию,Профессиональные услуги,published,business-demo,true,2026-09-23T08:13:00Z,null,[],[],1,Администратор вручную сверяет расписание консультаций; накладки мешают обслуживать клиентов в назначенное время.,Простой экран выбора даты и свободного временного окна.,null,Нужны экран записи и список заявок администратора; интеграция с календарём не входит.,null,null,55,,,,,,,,,
task,2,task-005,,Отзывы после мероприятий приходят из нескольких форм и сообщений. Нужно видеть повторяющиеся темы и быстро находить предложения по улучшению.,Разбор отзывов участников,События и образование,published,business-demo,true,2026-09-23T08:14:00Z,null,[],[],1,Отзывы хранятся разрозненно; организаторам сложно выделить повторяющиеся темы и предложения по улучшению.,Экран со списком обезличенных отзывов и ручными тематическими метками.,null,null,null,null,40,,,,,,,,,
team,2,team-001,DataCraft,,,,,,,,,,,,,,,,,,,Аналитика процессов и dashboards,"[""анализ процессов"",""визуализация данных""]","[""TypeScript"",""React"",""SQL""]",,,,,,
team,2,team-002,Interface Lab,,,,,,,,,,,,,,,,,,,Удобные формы и пользовательские сценарии,"[""UX-прототипирование"",""доступность интерфейсов""]","[""React"",""CSS""]",,,,,,
team,2,team-003,Process Hackers,,,,,,,,,,,,,,,,,,,Автоматизация рутинных операций,"[""автоматизация процессов"",""проектирование интеграций""]","[""Python"",""FastAPI"",""JavaScript""]",,,,,,
team,2,team-004,Signal Studio,,,,,,,,,,,,,,,,,,,"Поиск, каталоги и работа с текстом","[""полнотекстовый поиск"",""тестирование""]","[""TypeScript"",""Node.js""]",,,,,,
team,2,team-005,Clear Flow,,,,,,,,,,,,,,,,,,,Сервисы для малого бизнеса и операционные панели,"[""аналитика интерфейсов"",""проектирование форм""]","[""Vue"",""CSS"",""REST API""]",,,,,,
proposal,2,proposal-001,,,,,submitted,,,,,,,,,Рабочий экран реестра на тестовом наборе данных.,,,,,,,"[""анализ процессов"",""визуализация данных"",""TypeScript"",""React"",""SQL""]",,task-001,team-001,"Сделать компактную таблицу заявок с фильтрами, статусами и счётчиком необработанных обращений.",2 дня после согласования объёма и получения демонстрационных данных,"[""Согласовать поля реестра и статусы на обезличенном примере."",""Реализовать ручное добавление, список, назначение ответственного и фильтрацию."",""Проверить отсутствие дубликатов и фильтры на 20 тестовых заявках.""]",source-data.md#proposal-001
proposal,2,proposal-002,,,,,submitted,,,,,,,,,Прототип сценария от добавления до закрытия заявки.,,,,,,,"[""UX-прототипирование"",""доступность интерфейсов"",""React"",""CSS""]",,task-001,team-002,"Начать с понятной формы добавления заявки и карточки статуса, чтобы снизить число ошибок менеджеров.",3 дня после согласования объёма и получения демонстрационных данных,"[""Разобрать текущий путь заявки и согласовать макет формы."",""Собрать форму добавления, карточку со статусом и список заявок."",""Проверить сценарий добавления и изменения статуса на тестовых данных.""]",source-data.md#proposal-002
proposal,2,proposal-003,,,,,submitted,,,,,,,,,Панель остатков на предоставленном CSV.,,,,,,,"[""автоматизация процессов"",""проектирование интеграций"",""Python"",""FastAPI"",""JavaScript""]",,task-002,team-003,Подготовить загрузку CSV и расчёт индикатора минимального остатка для каждой точки.,2 дня после согласования объёма и получения демонстрационных данных,"[""Проверить структуру CSV и согласовать пороги минимального запаса."",""Реализовать чтение CSV, таблицу и выделение позиций ниже порога."",""Сверить значения с контрольной таблицей по каждой точке.""]",source-data.md#proposal-003
proposal,2,proposal-004,,,,,submitted,,,,,,,,,Каталог с поиском на согласованном демонстрационном наборе инструкций.,,,,,,,"[""полнотекстовый поиск"",""тестирование"",""TypeScript"",""Node.js""]",,task-003,team-004,"Собрать каталог с быстрым поиском по названию, теме и описанию инструкции.",2 дня после согласования объёма и получения демонстрационных данных,"[""Уточнить доступность списка инструкций; при его отсутствии согласовать синтетические записи."",""Собрать каталог с поиском по названию, теме и описанию."",""Проверить поиск по пяти согласованным контрольным запросам.""]",source-data.md#proposal-004
proposal,2,proposal-005,,,,,submitted,,,,,,,,,Экран группировки отзывов на согласованном наборе без автоматических выводов о людях.,,,,,,,"[""аналитика интерфейсов"",""проектирование форм"",""Vue"",""CSS"",""REST API""]",,task-005,team-005,Сделать список отзывов с ручными метками и фильтром по темам для подготовки отчёта.,3 дня после согласования объёма и получения демонстрационных данных,"[""Уточнить объём примеров отзывов, границы первой версии и критерии приёмки."",""После согласования собрать список отзывов, ручные метки и фильтр."",""Показать результат на согласованном наборе и собрать обратную связь бизнеса.""]",source-data.md#proposal-005
